cms_certification_number_ccn,provider_name,provider_address,citytown,state,zip_code,telephone_number,provider_ssa_county_code,countyparish,urban,ownership_type,number_of_certified_beds,average_number_of_residents_per_day,average_number_of_residents_per_day_footnote,provider_type,provider_resides_in_hospital,legal_business_name,date_first_approved_to_provide_medicare_and_medicaid_services,chain_name,chain_id,number_of_facilities_in_chain,chain_average_overall_5star_rating,chain_average_health_inspection_rating,chain_average_staffing_rating,chain_average_qm_rating,continuing_care_retirement_community,special_focus_status,abuse_icon,most_recent_health_inspection_more_than_2_years_ago,provider_changed_ownership_in_last_12_months,with_a_resident_and_family_council,automatic_sprinkler_systems_in_all_required_areas,overall_rating,overall_rating_footnote,health_inspection_rating,health_inspection_rating_footnote,qm_rating,qm_rating_footnote,longstay_qm_rating,longstay_qm_rating_footnote,shortstay_qm_rating,shortstay_qm_rating_footnote,staffing_rating,staffing_rating_footnote,reported_staffing_footnote,physical_therapist_staffing_footnote,reported_nurse_aide_staffing_hours_per_resident_per_day,reported_lpn_staffing_hours_per_resident_per_day,reported_rn_staffing_hours_per_resident_per_day,reported_licensed_staffing_hours_per_resident_per_day,reported_total_nurse_staffing_hours_per_resident_per_day,total_number_of_nurse_staff_hours_per_resident_per_day_on_t_4a14,registered_nurse_hours_per_resident_per_day_on_the_weekend,reported_physical_therapist_staffing_hours_per_resident_per_day,total_nursing_staff_turnover,total_nursing_staff_turnover_footnote,registered_nurse_turnover,registered_nurse_turnover_footnote,number_of_administrators_who_have_left_the_nursing_home,administrator_turnover_footnote,nursing_casemix_index,nursing_casemix_index_ratio,casemix_nurse_aide_staffing_hours_per_resident_per_day,casemix_lpn_staffing_hours_per_resident_per_day,casemix_rn_staffing_hours_per_resident_per_day,casemix_total_nurse_staffing_hours_per_resident_per_day,casemix_weekend_total_nurse_staffing_hours_per_resident_per_day,adjusted_nurse_aide_staffing_hours_per_resident_per_day,adjusted_lpn_staffing_hours_per_resident_per_day,adjusted_rn_staffing_hours_per_resident_per_day,adjusted_total_nurse_staffing_hours_per_resident_per_day,adjusted_weekend_total_nurse_staffing_hours_per_resident_per_day,rating_cycle_1_standard_survey_health_date,rating_cycle_1_total_number_of_health_deficiencies,rating_cycle_1_number_of_standard_health_deficiencies,rating_cycle_1_number_of_complaint_health_deficiencies,rating_cycle_1_health_deficiency_score,rating_cycle_1_number_of_health_revisits,rating_cycle_1_health_revisit_score,rating_cycle_1_total_health_score,rating_cycle_2_standard_health_survey_date,rating_cycle_23_total_number_of_health_deficiencies,rating_cycle_2_number_of_standard_health_deficiencies,rating_cycle_23_number_of_complaint_health_deficiencies,rating_cycle_23_health_deficiency_score,rating_cycle_23_number_of_health_revisits,rating_cycle_23_health_revisit_score,rating_cycle_23_total_health_score,total_weighted_health_survey_score,number_of_citations_from_infection_control_inspections,number_of_fines,total_amount_of_fines_in_dollars,number_of_payment_denials,total_number_of_penalties,location,latitude,longitude,geocoding_footnote,processing_date
345459,Willowbrooke Court SC Ctr at Tryon Estates,619 Laurel Lake Drive,Columbus,NC,28722,8288945500,740,Polk,N,Non profit - Corporation,16,9.7,,Medicare,N,ACTS RETIREMENT-LIFE COMMUNITIES INC,1994-06-03,ACTS RETIREMENT-LIFE COMMUNITIES,9,27,4.7,4.3,4.8,4.4,Y,,N,N,N,Resident,Yes,5,,5,,4,,,2,4,,5,,,,2.32558,0.45195,1.49588,1.94783,4.27341,3.77189,1.09661,0.28233,,27,,27,,27,1.25649,0.90285,2.10541,0.77674,0.61332,3.49547,3.10095,2.55783,0.49708,1.64527,4.70019,4.14858,2025-12-17,0,0,0,0,0,0,0,2024-11-20,1,1,0,8,1,0,8,2.000,,0,0.00,0,0,"619 Laurel Lake Drive,Columbus,NC,28722",35.2356,-82.201,,2026-04-01
345460,Guilford Health Care Center,2041 Willow Road,Greensboro,NC,27406,3362729700,400,Guilford,Y,For profit - Corporation,110,108.4,,Medicare and Medicaid,N,GUILFORD OPERATOR LLC,1994-06-24,LIFEWORKS REHAB,768,62,2.1,2.1,1.5,4.0,N,,N,N,N,Resident,Yes,1,,2,,4,,4,,3,,1,,,,1.98667,1.10497,0.27027,1.37524,3.36191,3.13522,0.15370,0.14736,57.1,,64.3,,1,,1.55593,1.11802,2.60715,0.96184,0.75949,4.32848,3.83994,1.76456,0.98143,0.24006,2.98605,2.78470,2025-04-17,14,14,5,80,1,0,80,2024-01-24,9,7,2,72,1,0,72,78.000,0,0,0.00,0,0,"2041 Willow Road,Greensboro,NC,27406",36.0403,-79.762,,2026-04-01
345462,The Oaks-Brevard,300 Morris Road,Brevard,NC,28712,8288774020,870,Transylvania,N,For profit - Limited Liability company,110,77.1,,Medicare and Medicaid,N,"THE OAKS -BREVARD, LLC",1994-07-21,PRUITTHEALTH,434,96,2.9,2.8,2.4,3.7,N,,N,N,N,Resident,Yes,3,,2,,4,,3,,5,,5,,,,1.99640,0.39590,1.13645,1.53234,3.52874,3.00643,0.78606,0.09834,28.8,,13.3,,1,,1.21910,0.87599,2.04275,0.75362,0.59507,3.39144,3.00866,2.26313,0.44879,1.28828,4.00019,3.40810,2026-03-05,4,4,0,20,0,0,20,2024-12-18,23,9,16,124,1,0,124,46.000,,1,6936.00,0,1,"300 Morris Road,Brevard,NC,28712",35.2617,-82.712,,2026-04-01
345463,Life Care Center of Hendersonville,400 Thompson Street,Hendersonville,NC,28792,8286974348,440,Henderson,Y,For profit - Limited Liability company,80,68.7,,Medicare and Medicaid,N,"HENDERSONVILLE MEDICAL INVESTORS, LLC",1994-07-19,LIFE CARE CENTERS OF AMERICA,311,194,3.5,2.9,3.3,4.5,N,,N,N,N,Both,Yes,3,,2,,5,,5,,5,,2,,,,1.45786,1.14523,0.78364,1.92887,3.38673,2.90128,0.34688,0.17543,60.0,,66.7,,1,,1.47056,1.05667,2.46410,0.90907,0.71781,4.09099,3.62925,1.37004,1.07624,0.73644,3.18272,2.72651,2025-08-27,5,5,0,32,1,0,32,2024-07-19,16,10,10,104,2,52,156,63.000,,2,40986.00,1,3,"400 Thompson Street,Hendersonville,NC,28792",35.3414,-82.447,,2026-04-01
345464,Oak Grove Healthcare,518 Old US 221 Highway,Rutherfordton,NC,28139,8282877655,800,Rutherford,N,For profit - Corporation,60,57.6,,Medicare and Medicaid,N,518 OLD US HIGHWAY 221 OPCO LLC,1994-09-08,AVARDIS HEALTH,843,33,2.1,2.1,2.4,3.3,N,,N,N,N,Resident,Yes,4,,5,,3,,4,,2,,1,24,,,1.70669,0.80722,0.35965,1.16687,2.87356,2.41772,0.14338,0.08579,52.3,,77.8,,1,,1.25955,0.90505,2.11053,0.77863,0.61482,3.50398,3.10849,1.87257,0.88568,0.39461,3.15286,2.65271,2025-12-03,1,1,0,0,0,0,0,2024-09-06,2,2,1,8,1,0,8,2.000,0,0,0.00,0,0,"518 Old US 221 Highway,Rutherfordton,NC,28139",35.3782,-81.978,22,2026-04-01
345465,Bayview Nursing & Rehabilitation Center,3003 Kensington Park Drive,New Bern,NC,28560,2526381818,240,Craven,N,For profit - Corporation,60,58.3,,Medicare and Medicaid,N,"CENTURY CARE OF NEW BERN, INC.",1994-10-11,CENTURY CARE MANAGEMENT,131,7,4.1,4.1,2.9,3.6,N,,N,N,N,Resident,Yes,4,,4,,4,,4,,5,,3,,,,3.06694,1.06746,0.36784,1.43530,4.50224,3.78161,0.48472,0.14502,40.0,,50.0,,0,,1.41703,1.01821,2.37442,0.87598,0.69169,3.94209,3.49716,2.99106,1.04105,0.35874,4.39084,3.68804,2025-11-20,2,2,0,8,1,0,8,2024-08-22,0,0,0,0,0,0,0,6.000,,0,0.00,0,0,"3003 Kensington Park Drive,New Bern,NC,28560",35.1406,-77.102,,2026-04-01
345466,Willowbrook Rehabilitation and Care,333 East Lee Street,Yadkinville,NC,27055,3366798028,980,Yadkin,Y,For profit - Partnership,76,72.6,,Medicare and Medicaid,N,333 EAST LEE AVENUE OPCO LLC,1994-10-31,AVARDIS HEALTH,843,33,2.1,2.1,2.4,3.3,N,,N,N,N,Resident,Yes,4,,4,,3,,2,,4,,2,,,,1.97755,0.73438,0.36213,1.09651,3.07405,2.79527,0.18547,0.04190,37.5,,72.7,,2,,1.16976,0.84053,1.96007,0.72312,0.57099,3.25418,2.88689,2.33632,0.86761,0.42782,3.63175,3.30239,2025-09-12,2,2,0,8,1,0,8,2024-07-24,0,0,0,0,0,0,0,6.000,,0,0.00,0,0,"333 East Lee Street,Yadkinville,NC,27055",36.1255,-80.655,,2026-04-01
345467,NOVANT HEALTH PRESBYTERIAN MEDICAL CENTER-SNU,200 HAWTHORNE LANE,CHARLOTTE,NC,28207,7043844000,590,Mecklenburg,Y,Non profit - Corporation,12,10.0,,Medicare and Medicaid,Y,THE PRESBYTERIAN HOSPITAL,1994-10-31,,,,,,,,N,,N,N,N,Resident,Yes,5,,5,,5,,,2,5,,5,,,,2.78690,1.57657,2.06290,3.63947,6.42637,6.04647,2.01008,0.00000,57.1,,,27,,26,1.32809,0.95430,2.22538,0.82100,0.64827,3.69465,3.27765,2.89998,1.64053,2.14660,6.68711,6.29179,2025-08-27,0,0,0,0,0,0,0,2024-08-15,3,3,0,16,1,0,16,4.000,,0,0.00,0,0,"200 HAWTHORNE LANE,CHARLOTTE,NC,28207",35.2129,-80.826,,2026-04-01
345468,Liberty Commons Rehabilitation Center,121 Racine Drive,Wilmington,NC,28403,9104524070,640,New Hanover,Y,For profit - Corporation,82,77.4,,Medicare and Medicaid,N,LIBERTY COMMONS NURSING CENTER INC,1994-11-18,LIBERTY SENIOR LIVING,310,37,2.6,2.9,2.1,3.0,N,,N,N,N,Resident,Yes,2,,2,,4,,4,,5,,3,,,,1.93064,0.93251,0.48392,1.41642,3.34706,3.00284,0.31722,0.06335,58.4,,50.0,,0,,1.21950,0.87627,2.04342,0.75387,0.59527,3.39255,3.00965,2.18786,1.05674,0.54839,3.79299,3.40292,2026-03-18,3,3,0,44,0,0,44,2025-01-22,8,3,8,68,1,0,68,50.000,,2,20988.00,1,3,"121 Racine Drive,Wilmington,NC,28403",34.2423,-77.862,,2026-04-01
345471,Mecklenburg Heath and Rehabilitation,2415 Sandy Porter Road,Charlotte,NC,28273,7045830430,590,Mecklenburg,Y,For profit - Limited Liability company,100,91.6,,Medicare and Medicaid,N,MECKLENBURG HEALTH AND REHABILITATION LLC,1995-03-21,SANSTONE HEALTH & REHABILITATION,465,17,4.1,3.6,2.8,4.5,N,,N,N,N,Resident,Yes,5,,4,,5,,5,,4,,2,,,,2.14335,1.02825,0.33924,1.36749,3.51084,3.05170,0.22086,0.06880,53.1,,66.7,,0,,1.31638,0.94589,2.20577,0.81376,0.64256,3.66209,3.24876,2.25014,1.07948,0.35615,3.68576,3.20375,2025-08-21,6,4,3,24,1,0,24,2024-06-06,2,0,2,8,0,0,8,20.000,0,1,4475.00,0,1,"2415 Sandy Porter Road,Charlotte,NC,28273",35.1361,-80.941,,2026-04-01
345472,Southwood Nursing and Retirement,180 Southwood Drive,Clinton,NC,28328,9105928165,810,Sampson,N,For profit - Corporation,100,87.8,,Medicare and Medicaid,N,LIBERTY HEALTHCARE GROUP LLC,1995-04-17,LIBERTY SENIOR LIVING,310,37,2.6,2.9,2.1,3.0,N,,N,N,N,Resident,Yes,3,,4,,4,,5,,3,,1,,,,2.13681,0.82167,0.18420,1.00587,3.14268,2.94369,0.12932,0.03320,61.0,,66.7,,0,,1.36708,0.98232,2.29071,0.84510,0.66730,3.80311,3.37387,2.16009,0.83062,0.18621,3.17692,2.97577,2025-01-24,2,2,0,8,1,0,8,2024-01-04,4,1,4,48,1,0,48,18.000,,2,8512.00,0,2,"180 Southwood Drive,Clinton,NC,28328",34.9809,-78.308,,2026-04-01
345473,Wilora Lake Healthcare,6001 Wilora Lake Road,Charlotte,NC,28212,7045632922,590,Mecklenburg,Y,For profit - Corporation,70,59.8,,Medicare and Medicaid,N,6001 WILORA LAKE ROAD OPCO LLC,1995-09-26,AVARDIS HEALTH,843,33,2.1,2.1,2.4,3.3,N,,N,N,N,Resident,Yes,2,,3,,4,,5,,4,,1,,,,1.85639,0.88137,0.49728,1.37865,3.23504,2.84676,0.31230,0.09644,68.1,,73.3,,3,,1.31416,0.94430,2.20205,0.81239,0.64148,3.65591,3.24328,1.95218,0.92685,0.52294,3.40197,2.99365,2025-02-20,10,10,8,40,1,0,40,2023-11-09,0,0,0,0,0,0,0,30.000,,0,0.00,0,0,"6001 Wilora Lake Road,Charlotte,NC,28212",35.2106,-80.747,,2026-04-01
345475,Tsali Care Center,267 Tsali Care Way,Cherokee,NC,28719,8284975048,860,Swain,N,Non profit - Corporation,100,71.1,,Medicare and Medicaid,N,CHEROKEE INDIAN HOSPITAL AUTHORITY,1996-04-18,,,,,,,,N,SFF Candidate,N,N,N,Resident,Yes,2,,1,,2,,2,,2,,5,,,,3.93810,0.55971,1.25544,1.81515,5.75324,5.19594,0.97234,0.01520,45.3,,46.7,,2,,1.18466,0.85124,1.98505,0.73233,0.57826,3.29565,2.92368,4.59400,0.65293,1.46453,6.71147,6.06134,2025-08-01,33,26,9,204,2,102,306,2024-08-22,32,18,14,256,1,0,256,293.500,,9,205165.00,2,11,"267 Tsali Care Way,Cherokee,NC,28719",35.4745,-83.341,22,2026-04-01
345477,Biltmore Haven Nursing and Rehabilitation,3864 Sweeten Creek Road,Arden,NC,28704,8286810904,100,Buncombe,Y,For profit - Limited Liability company,100,75.2,,Medicare and Medicaid,N,3864 SWEETEN CREEK ROAD OPCO LLC,1996-07-02,AVARDIS HEALTH,843,33,2.1,2.1,2.4,3.3,N,SFF Candidate,N,N,N,Resident,Yes,1,,1,,2,,3,,2,,2,,,,2.13731,0.28159,0.64624,0.92783,3.06514,2.78142,0.49627,0.04025,69.6,,75.0,,4,,1.20830,0.86823,2.02465,0.74694,0.58980,3.36140,2.98201,2.44452,0.32206,0.73913,3.50571,3.18121,2025-05-01,17,17,5,92,1,0,92,2024-01-16,26,14,23,506,2,253,759,258.750,,2,172134.00,1,3,"3864 Sweeten Creek Road,Arden,NC,28704",35.4684,-82.514,,2026-04-01
345478,Harnett Woods Nursing and Rehabilitation Center,604 Lucas Road,Dunn,NC,28334,9108914600,420,Harnett,N,For profit - Limited Liability company,100,87.4,,Medicare and Medicaid,N,"REDWOOD LTC GROUP, LLC",1996-09-26,PRINCIPLE LONG TERM CARE,423,44,3.1,3.0,3.0,3.4,N,,N,N,N,Resident,Yes,4,,4,,4,,5,,4,,4,,,,2.13958,1.05164,0.41899,1.47064,3.61022,3.30988,0.21206,0.04943,42.0,,12.5,,1,,1.22495,0.88019,2.05255,0.75724,0.59793,3.40772,3.02310,2.41385,1.18645,0.47270,4.07300,3.73417,2025-07-10,2,2,0,4,0,0,4,2024-05-31,5,3,2,20,1,0,20,8.000,,0,0.00,0,0,"604 Lucas Road,Dunn,NC,28334",35.3137,-78.649,,2026-04-01
345479,Salemtowne,1550 Babcock Drive,Winston-Salem,NC,27106,3367678130,330,Forsyth,Y,Non profit - Corporation,100,92.8,,Medicare and Medicaid,N,MORAVIAN HOME INCORPORATED,1996-10-15,,,,,,,,Y,,N,N,N,Both,Yes,4,,4,,4,,2,,5,,4,,,,3.89961,1.41750,0.37923,1.79673,5.69634,5.49392,0.19846,0.07143,41.3,,61.5,,0,,1.24162,0.89217,2.08048,0.76754,0.60606,3.45409,3.06424,4.34043,1.57774,0.42210,6.34027,6.11497,2025-12-19,2,1,1,8,1,0,8,2024-09-12,2,1,1,20,1,0,20,11.000,,0,0.00,0,0,"1550 Babcock Drive,Winston-Salem,NC,27106",36.1496,-80.323,22,2026-04-01
345481,Woodlands Nursing & Rehabilitation Center,400 Pelt Drive,Fayetteville,NC,28301,9108220515,250,Cumberland,Y,For profit - Corporation,80,75.6,,Medicare and Medicaid,N,LIBERTY HEALTHCARE GROUP LLC,1997-02-27,LIBERTY SENIOR LIVING,310,37,2.6,2.9,2.1,3.0,N,,N,N,N,Resident,Yes,4,,4,,3,,4,,2,,3,,,,2.84041,0.84083,0.36062,1.20145,4.04186,3.82627,0.19803,0.02924,59.0,,37.5,,1,,1.33308,0.95789,2.23374,0.82408,0.65071,3.70853,3.28996,2.94459,0.87167,0.37385,4.19011,3.96661,2025-08-08,2,2,0,8,1,0,8,2024-05-07,5,4,5,28,1,0,28,13.000,,1,4709.00,0,1,"400 Pelt Drive,Fayetteville,NC,28301",35.0879,-78.913,,2026-04-01
345482,Brookdale Carriage Club Providence,5804 Old Providence Road,Charlotte,NC,28226,7043658551,590,Mecklenburg,Y,For profit - Corporation,14,6.9,,Medicare,N,ARCLP-CHARLOTTE LLC,1997-04-03,BROOKDALE SENIOR LIVING,93,14,3.4,2.7,4.1,4.4,Y,,N,N,N,Resident,Yes,4,,3,,5,,,2,5,,4,,,,4.72911,1.85042,3.75829,5.60872,10.33782,8.28481,2.22541,0.51858,,26,,26,,26,1.18383,0.85065,1.98366,0.73182,0.57786,3.29334,2.92163,5.52063,2.16013,4.38733,12.06809,9.67145,2025-04-07,3,3,1,16,1,0,16,2024-02-21,7,7,0,52,1,0,52,25.000,,0,0.00,0,0,"5804 Old Providence Road,Charlotte,NC,28226",35.1344,-80.785,,2026-04-01
345483,Shaire Nursing Center,1450 Shaire Center Drive,Lenoir,NC,28645,8287284673,130,Caldwell,Y,For profit - Corporation,60,48.9,,Medicare and Medicaid,N,SHAIRE NURSING CENTER,1997-06-16,,,,,,,,N,,N,N,N,Both,Yes,5,,4,,4,,3,,5,,5,,,,2.83846,1.09024,0.77595,1.86619,4.70466,3.94707,0.45123,0.02000,34.9,,11.1,,,26,1.20352,0.86479,2.01665,0.74399,0.58747,3.34811,2.97022,3.25934,1.25190,0.89100,5.40224,4.53232,2025-08-13,6,5,1,24,1,0,24,2024-07-03,2,2,0,8,1,0,8,20.000,,0,0.00,0,0,"1450 Shaire Center Drive,Lenoir,NC,28645",35.8558,-81.535,,2026-04-01
345484,TRANSYLVANIA REGIONAL HOSPITAL,260 HOSPITAL DRIVE,BREVARD,NC,28712,8288835156,870,Transylvania,N,For profit - Corporation,10,5.9,,Medicare and Medicaid,Y,"MH TRANSYLVANIA REGIONAL HOSPITAL, LLLP",1997-05-29,HCA HEALTHCARE,701,3,5.0,4.0,5.0,3.5,N,,N,N,N,None,Yes,5,,4,,3,,,2,3,,5,,,,4.02022,0.77941,3.71691,4.49632,8.51654,8.08710,3.54194,0.36673,23.1,,20.0,,,26,1.54685,1.11150,2.59194,0.95623,0.75506,4.30323,3.81754,3.59171,0.69633,3.32073,7.60877,7.22509,2025-11-25,2,2,0,12,1,0,12,2024-09-25,2,2,0,24,1,0,24,15.000,,2,12415.00,0,2,"260 HOSPITAL DRIVE,BREVARD,NC,28712",35.2564,-82.712,,2026-04-01
345487,Cherry Point Bay Nursing and Rehabilitation Center,110 McCotter Boulevard,Havelock,NC,28532,2524444631,240,Craven,N,For profit - Limited Liability company,70,61.7,,Medicare and Medicaid,N,"RIVER NEUSE GROUP, LLC",1998-03-13,PRINCIPLE LONG TERM CARE,423,44,3.1,3.0,3.0,3.4,N,,N,N,N,Resident,Yes,2,,2,,3,,4,,3,,2,,,,2.42152,0.50493,0.65846,1.16339,3.58491,3.23653,0.46599,0.07446,77.8,,66.7,,2,,1.35881,0.97637,2.27685,0.83999,0.66327,3.78010,3.35346,2.46280,0.51354,0.66968,3.64603,3.29171,2025-07-02,0,0,0,0,0,0,0,2024-07-11,8,2,6,215,1,0,215,53.750,,2,181643.00,0,2,"110 McCotter Boulevard,Havelock,NC,28532",34.8797,-76.886,,2026-04-01
345489,Rockwell Park Rehabilitation and Healthcare Center,1930 West Sugar Creek Road,Charlotte,NC,28262,7045984480,590,Mecklenburg,Y,For profit - Limited Liability company,120,85.6,,Medicare and Medicaid,N,SATURN OPERATOR LLC,1998-11-05,YAD HEALTHCARE,640,13,1.7,2.2,1.5,2.9,N,SFF,N,N,N,Resident,Yes,,18,,18,,18,,18,,18,,18,,,2.16475,0.93097,0.48794,1.41891,3.58366,3.13096,0.23415,0.09807,69.6,,63.6,,1,,1.26356,0.90794,2.11726,0.78111,0.61678,3.51514,3.11840,2.36761,1.01821,0.53366,3.91949,3.42436,2025-11-20,7,4,3,135,1,0,135,2025-05-23,22,6,16,341,1,0,341,186.500,,5,228845.00,1,6,"1930 West Sugar Creek Road,Charlotte,NC,28262",35.2896,-80.796,,2026-04-01
345490,Ayden Court Nursing and Rehabilitation Center,128 Snow Hill Road,Ayden,NC,28513,2527468223,730,Pitt,Y,For profit - Limited Liability company,82,75.4,,Medicare and Medicaid,N,"RIVER NEUSE GROUP, LLC",1999-02-05,PRINCIPLE LONG TERM CARE,423,44,3.1,3.0,3.0,3.4,N,,N,N,N,Resident,Yes,3,,3,,3,,5,,1,,2,,,,2.06099,0.59688,0.57994,1.17682,3.23780,2.77315,0.29543,0.07441,61.7,,22.2,,0,,1.40393,1.00880,2.35246,0.86788,0.68529,3.90563,3.46481,2.02876,0.58755,0.57087,3.18717,2.72979,2025-02-06,8,8,6,28,1,0,28,2023-11-16,9,9,2,40,1,0,40,31.000,,0,0.00,0,0,"128 Snow Hill Road,Ayden,NC,28513",35.4663,-77.435,,2026-04-01
345491,Croatan Ridge Nursing and Rehabilitation Center,210 Foxhall Road,Newport,NC,28570,2522232560,150,Carteret,N,For profit - Limited Liability company,64,57.3,,Medicare and Medicaid,N,"RIVER NEUSE GROUP, LLC",1999-02-04,PRINCIPLE LONG TERM CARE,423,44,3.1,3.0,3.0,3.4,N,,N,N,N,Resident,Yes,3,,3,,3,,2,,4,,2,,,,1.97937,0.83600,0.48528,1.32128,3.30065,2.99294,0.49719,0.06953,50.0,,37.5,,0,,1.31479,0.94475,2.20310,0.81278,0.64178,3.65767,3.24484,2.08050,0.87871,0.51008,3.46929,3.14586,2025-02-07,6,6,1,24,1,0,24,2024-02-02,4,4,2,20,1,0,20,23.000,,0,0.00,0,0,"210 Foxhall Road,Newport,NC,28570",34.7998,-76.872,,2026-04-01
345493,Hendersonville Health and Rehabilitation,104 College Drive,Flat Rock,NC,28731,8286938600,440,Henderson,Y,For profit - Limited Liability company,130,99.5,,Medicare and Medicaid,N,HENDERSONVILLE HEALTH AND REHABILITATION,1999-06-03,SANSTONE HEALTH & REHABILITATION,465,17,4.1,3.6,2.8,4.5,N,,N,N,N,Resident,Yes,5,,4,,5,,5,,5,,2,,,,2.21366,0.75280,0.51202,1.26482,3.47848,2.89579,0.32416,0.09315,37.4,,26.7,,2,,1.40664,1.01075,2.35701,0.86956,0.68662,3.91318,3.47152,2.17483,0.73960,0.50304,3.41747,2.84500,2025-09-18,0,0,0,0,0,0,0,2024-09-11,11,3,11,52,1,0,52,13.000,,0,0.00,0,0,"104 College Drive,Flat Rock,NC,28731",35.304,-82.416,,2026-04-01
345494,Peak Resources - Gastonia,2780 X-Ray Drive,Gastonia,NC,28054,7048610981,350,Gaston,Y,For profit - Corporation,104,91.5,,Medicare and Medicaid,N,"CENTURY CARE OF GASTONIA, INC",1999-06-30,"PEAK RESOURCES, INC.",397,9,3.4,3.6,2.4,3.0,N,,N,N,N,Resident,Yes,5,,4,,5,,5,,5,,2,,,,1.91685,0.86717,0.48298,1.35015,3.26700,2.88467,0.34644,0.05629,37.3,,27.3,,0,,1.50080,1.07840,2.51478,0.92776,0.73258,4.17511,3.70389,1.76508,0.79851,0.44474,3.00833,2.65628,2025-04-03,2,2,0,12,1,0,12,2023-12-14,2,2,2,12,1,0,12,12.000,,0,0.00,0,0,"2780 X-Ray Drive,Gastonia,NC,28054",35.2778,-81.14,,2026-04-01
345495,The Stewart Health Center,6920 Marching Duck Drive,Charlotte,NC,28210,7047145555,590,Mecklenburg,Y,Non profit - Corporation,65,57.7,,Medicare,N,THE CYPRESS OF CHARLOTTE CLUB INC.,1999-09-23,,,,,,,,Y,,N,N,N,Both,Yes,1,,2,,4,,4,,5,,1,25,25,6,,,,,,,,,32.5,,50.0,,1,,,,,,,,,,,,,,2025-05-16,2,1,1,79,1,0,79,2024-03-07,12,12,0,92,1,0,92,82.250,,2,57971.00,0,2,"6920 Marching Duck Drive,Charlotte,NC,28210",35.1373,-80.851,,2026-04-01
345496,Liberty Commons Nursing & Rehabilitation Center of,791 Boone Station Drive,Burlington,NC,27215,3365869850,000,Alamance,Y,For profit - Corporation,122,116.3,,Medicare and Medicaid,N,LIBERTY HEALTHCARE GROUP LLC,1999-10-06,LIBERTY SENIOR LIVING,310,37,2.6,2.9,2.1,3.0,N,,N,N,N,Resident,Yes,3,,4,,2,,2,,2,,1,,,,2.22289,0.95848,0.27522,1.23370,3.45659,3.20827,0.23616,0.08990,62.5,,100.0,,2,,1.26370,0.90804,2.11749,0.78120,0.61684,3.51553,3.11875,2.43093,1.04818,0.30098,3.78009,3.50853,2026-01-08,2,2,1,12,1,0,12,2024-09-27,4,4,0,8,1,0,8,11.000,,0,0.00,0,0,"791 Boone Station Drive,Burlington,NC,27215",36.0724,-79.503,,2026-04-01
345499,Litchford Falls Health and Rehabilitation Center,8200 Litchford Road,Raleigh,NC,27615,9198787772,910,Wake,Y,For profit - Limited Liability company,90,85.8,,Medicare and Medicaid,N,"UNIVERSAL HEALTH CARE / RALEIGH, INC",2000-03-02,LIFEWORKS REHAB,768,62,2.1,2.1,1.5,4.0,N,,N,N,N,Resident,Yes,1,,2,,2,,2,,2,,1,,,,2.29467,0.83693,0.45717,1.29410,3.58877,3.29995,0.38585,0.13195,52.6,,72.7,,1,,1.55597,1.11804,2.60721,0.96187,0.75950,4.32859,3.84003,2.03807,0.74335,0.40604,3.18747,2.93094,2025-05-08,8,5,5,36,1,0,36,2024-03-21,11,1,11,207,1,0,207,78.750,,2,181873.00,0,2,"8200 Litchford Road,Raleigh,NC,27615",35.8901,-78.603,,2026-04-01
345500,Windsor Point Continuing Care,1221 Broad Street,Fuquay-Varina,NC,27526,9195524580,420,Harnett,N,For profit - Corporation,45,26.1,,Medicare,N,WINDSOR POINT INC.,2000-03-17,,,,,,,,Y,,N,N,N,Resident,Yes,5,,5,,2,,2,,,2,3,,,,2.02849,1.12031,0.94293,2.06324,4.09173,3.49765,0.67768,0.00000,68.2,,50.0,,1,,1.50155,1.07895,2.51604,0.92823,0.73294,4.17722,3.70575,1.86694,1.03109,0.86784,3.76587,3.21911,2025-12-31,0,0,0,0,0,0,0,2024-11-27,5,5,0,16,1,0,16,4.000,,0,0.00,0,0,"1221 Broad Street,Fuquay-Varina,NC,27526",35.6001,-78.802,,2026-04-01
345501,Croasdaile Village,2600 Croasdaile Farm Parkway,Durham,NC,27705,9193842304,310,Durham,Y,Non profit - Corporation,102,83.4,,Medicare and Medicaid,N,"THE UNITED METHODIST RETIREMENT HOMES, INCORPORATED",2000-01-03,LIFE CARE SERVICES,312,22,4.2,3.8,4.5,4.3,Y,,N,N,N,None,Yes,5,,5,,3,,4,,2,,4,,,,3.24398,1.47532,0.52954,2.00486,5.24885,4.78884,0.41530,0.16537,41.7,,9.1,,3,,1.29087,0.92756,2.16302,0.79799,0.63011,3.59112,3.18580,3.47292,1.57944,0.56691,5.61927,5.12680,2025-08-14,2,2,0,4,1,0,4,2024-07-11,1,1,0,0,0,0,0,3.000,,1,15405.00,0,1,"2600 Croasdaile Farm Parkway,Durham,NC,27705",36.041,-78.943,,2026-04-01
