Provider Number,Facility Name,City,State,Zip Code,Certification Date,Medicare Census,Medicaid Census,Other Census,Total Residents,Program Participation Code,Hospital Based,Ownership Type,Multi-Facility Organization,Multi-Facility Organization Name,Number of AIDS Beds,Number of Alzheimer's Disease Beds,Number of Dialysis Beds,Number of Disabled Children/Young Adult Beds,Number of Head Trauma Beds,Number of Hospice Beds,Number of Huntington's Disease Beds,Number of Ventilator Beds,Number of Other Specialized Rehab Beds,Organized Residents' Group,Organized Family Member Group,Facility Conducts Experimental Research,Continuing Care Retirement Community (CCRC),7 Day RN Waiver Date,7 Day RN Hrs Waived Per Week,24 Hr Licensed Nursing Waiver Date,24 Hr Licensed Nursing Hrs Waived Per Week,Nurse Aide Training and Competency Evaluation Program
345196,Mountain Vista Health Park,Denton,NC,27239,2025-05-01,5,43,6,54,SNF/NF Dual Certification,No,Non-Profit - Nonprofit Corporation,No,,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,Yes
345197,Willow Ridge Of NC,Rutherfordton,NC,28139,2025-02-04,4,87,22,113,SNF/NF - Medicare/Medicaid,No,For Profit - Corporation,Yes,CCH Healthcare,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345198,Aston Park Health Care Center,Asheville,NC,28806,2025-02-20,10,53,35,98,SNF/NF Dual Certification,No,Non-Profit - Nonprofit Corporation,Yes,Lutheran Services Carolina,0,32,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,Yes
345199,Carol Woods,Chapel Hill,NC,27514,2025-06-26,2,0,15,17,SNF (Medicare) Only,No,Non-Profit - Nonprofit Corporation,No,,0,0,0,0,0,0,0,0,0,Yes,Yes,No,Yes,,0,,0,No
345201,Pelican Health at Charlotte,Charlotte,NC,28204,2025-02-03,4,63,11,78,SNF/NF Dual Certification,No,For Profit - Corporation,Yes,Twin Pines Healthcare,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345202,Capital Nursing and Rehabilitation Center,Raleigh,NC,27610,2024-07-18,9,71,20,100,SNF/NF - Medicare/Medicaid,No,For Profit - Corporation,No,,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345203,Life Care Center of Banner Elk,Banner Elk,NC,28604,2024-08-21,6,35,25,66,SNF/NF - Medicare/Medicaid,No,For Profit - Corporation,Yes,Life Care Centers of America Inc.,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345204,StoneCreek Health and Rehabilitation,Asheville,NC,28801,2025-04-14,10,54,26,90,SNF/NF Dual Certification,No,For Profit - Corporation,No,,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345205,Westwood Hills Nursing and Rehabilitation Center,Wilkesboro,NC,28697,2024-08-21,14,86,18,118,SNF/NF - Medicare/Medicaid,No,For Profit - LLC,Yes,Principle LTC,0,30,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345206,Madison Health and Rehabilitation,Mars Hill,NC,28754,2024-11-15,6,45,32,83,SNF/NF - Medicare/Medicaid,No,For Profit - LLC,Yes,SanStone Health and Rehabilitation,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345207,Liberty Commons Nursing and Rehabilitation Center of Columbus County,Whiteville,NC,28472,2024-07-26,16,60,18,94,SNF/NF - Medicare/Medicaid,No,For Profit - Corporation,Yes,Liberty Healthcare,0,20,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345208,Sapphire Ridge Health and Rehabilitation,Brevard,NC,28712,2025-03-07,11,72,14,97,SNF/NF Distinct Part,No,For Profit - LLC,Yes,Ascent Healthcare Management,0,39,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345209,Brookridge Retirement Community,Winston-Salem,NC,27106,2024-05-09,7,22,20,49,SNF/NF - Medicare/Medicaid,No,Non-Profit - Nonprofit Corporation,Yes,Thrivemore,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345210,Elizabethtown Healthcare & Rehab Center,Elizabethtown,NC,28337,2024-09-26,10,57,11,78,SNF/NF - Medicare/Medicaid,No,For Profit - Corporation,Yes,Liberty Health,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345211,Riverpoint Crest Nursing and Rehabilitation Center,New Bern,NC,28563,2024-09-26,7,74,5,86,SNF/NF - Medicare/Medicaid,No,For Profit - Corporation,Yes,Principle LTC,0,22,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345212,Bethesda Health Care Facility,Eastover,NC,28301,2024-11-01,6,51,24,81,SNF/NF - Medicare/Medicaid,No,For Profit - Corporation,No,,0,20,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345213,Lillington Health and Rehabilitation Center,Lillington,NC,27546,2024-04-26,16,80,24,120,SNF/NF Dual Certification,No,For Profit - Corporation,Yes,Medical Facilities of America,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345215,River Trace Nursing and Rehabilitation Center,Washington,NC,27889,2024-07-26,12,80,32,124,SNF/NF - Medicare/Medicaid,No,For Profit - Corporation,Yes,Principle LTC,0,29,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345216,Westfield Rehabilitation and Health Center,Sanford,NC,27330,2024-08-23,8,50,21,79,SNF/NF - Medicare/Medicaid,No,For Profit - Corporation,Yes,Liberty Healthcare,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345217,Premier Nursing and Rehabilitation Center,Jacksonville,NC,28546,2025-04-24,16,79,46,141,SNF/NF Dual Certification,No,For Profit - LLC,Yes,Principle LTC,0,22,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345218,Mary Gran Nursing Center,Clinton,NC,28329,2024-08-12,10,91,6,107,SNF/NF - Medicare/Medicaid,No,For Profit - Corporation,Yes,Liberty Health and Rehab,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345219,Magnolia Lane Nursing and Rehabilitation Center,Morganton,NC,28655,2024-09-25,9,44,14,67,SNF/NF - Medicare/Medicaid,No,For Profit - LLC,Yes,Principle LTC,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345221,The Greens at Weaverville,Weaverville,NC,28787,2024-06-12,12,59,22,93,SNF/NF - Medicare/Medicaid,No,For Profit - LLC,Yes,CCH Healthcare,0,22,0,0,0,0,0,0,0,Yes,Yes,No,No,,0,,0,No
345222,Autumn Care of Drexel,Morganton,NC,28655,2025-04-24,12,52,24,88,SNF/NF Dual Certification,No,For Profit - Corporation,No,,0,0,1,0,0,9,0,0,0,Yes,No,No,No,,0,,0,No
345223,Valley Hill Health & Rehab Center,Hendersonville,NC,28739,2024-04-10,5,66,8,79,SNF/NF - Medicare/Medicaid,No,For Profit - Corporation,Yes,Saber Healthcare,0,16,1,0,0,5,0,0,0,Yes,No,No,No,,0,,0,No
345225,Signature Healthcare of Chapel Hill,Chapel Hill,NC,27514,2024-04-11,15,55,25,95,SNF/NF - Medicare/Medicaid,No,For Profit - Corporation,Yes,Signature Healthcare,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345226,Peak Resources-Outer Banks,Nags Head,NC,27959,2025-03-27,16,60,18,94,SNF/NF Dual Certification,No,For Profit - Corporation,Yes,Peak Resources Inc,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345227,Cypress Valley Center for Nursing and Rehabilitation,REIDSVILLE,NC,27320,2025-06-05,7,73,18,98,SNF/NF Dual Certification,No,For Profit - Corporation,Yes,Alliance Health Group,0,0,0,0,0,0,0,0,0,Yes,Yes,No,No,,0,,0,No
345228,Ridgewood Living & Rehabilitation Center,Washington,NC,27889,2024-06-12,120,84,13,217,SNF/NF - Medicare/Medicaid,No,For Profit - Corporation,Yes,CCH Healthcare,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345229,Peak Resources- Shelby,GROVER,NC,28073,2024-11-21,5,48,26,79,SNF/NF - Medicare/Medicaid,No,For Profit - Corporation,No,,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,Yes
345232,The Greens at Hickory,Hickory,NC,28602,2024-11-15,11,81,21,113,SNF/NF - Medicare/Medicaid,No,For Profit - LLC,No,,0,23,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345233,Deer Park Health and Rehabilitation,Nebo,NC,28761,2024-04-25,11,91,25,127,SNF/NF - Medicare/Medicaid,No,For Profit - LLC,Yes,Brighton Healthcare,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345234,Harborview Lumberton,Lumberton,NC,28358,2025-04-10,6,79,26,111,SNF/NF Dual Certification,No,For Profit - LLC,Yes,Harborview Health Systems,0,26,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345235,Twin Lakes Community,Burlington,NC,27215,2025-01-09,13,27,59,99,SNF/NF Distinct Part,No,Non-Profit - Nonprofit Corporation,No,,0,0,0,0,0,0,0,0,0,Yes,No,No,Yes,,0,,0,No
345236,August Healthcare at Wilmington,Wilmington,NC,28401,2025-05-15,16,55,22,93,SNF/NF Dual Certification,No,For Profit - Corporation,No,,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345237,Barbour Court Nursing and Rehabilitation Center,Smithfield,NC,27577,2024-11-15,17,95,24,136,SNF/NF - Medicare/Medicaid,No,For Profit - LLC,Yes,Principle LTC,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345238,White Oak Manor - Charlotte,Charlotte,NC,28211,2025-03-27,6,81,65,152,SNF/NF Dual Certification,No,For Profit - LLC,Yes,National Healthcare Corporation,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345240,Warren Hills Nursing Center,Warrenton,NC,27589,2024-11-21,4,52,28,84,SNF/NF Dual Certification,No,For Profit - Corporation,Yes,Liberty Healthcare,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345241,Eden Rehabilitation and Healthcare Center,Eden,NC,27288,2024-11-15,9,56,37,102,SNF/NF - Medicare/Medicaid,No,For Profit - Corporation,Yes,Yad Healthcare,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345243,Accordius Health at Charlotte,Charlotte,NC,28212,2025-04-24,8,57,34,99,SNF/NF Dual Certification,No,For Profit - Corporation,Yes,Twin Pines Healthcare,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345246,Hickory Falls Health and Rehabilitation,Granite Falls,NC,28630,2025-05-21,20,74,15,109,SNF/NF Dual Certification,No,For Profit - LLC,No,,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345247,Valley Nursing and Rehabilitation Center,Taylorsville,NC,28681,2024-10-08,12,62,34,108,SNF/NF - Medicare/Medicaid,No,For Profit - Corporation,Yes,CCH Healthcare,0,0,0,0,0,0,0,49,0,Yes,No,No,No,,0,,0,No
345249,UNC Rockingham Rehab & Nursing Care Center,Eden,NC,27288,2024-05-22,2,33,26,61,SNF/NF - Medicare/Medicaid,No,Non-Profit - Nonprofit Corporation,No,,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345250,The Greens at Lincolnton,Lincolnton,NC,28093,2024-11-07,18,66,21,105,SNF/NF - Medicare/Medicaid,No,For Profit - Corporation,Yes,CCH Healthcare,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345252,Warsaw Rehabilitation and Healthcare Center,Warsaw,NC,28398,2025-03-21,3,64,14,81,SNF/NF Dual Certification,No,For Profit - LLC,Yes,Kissito Healthcare,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345253,The Lodge at Mills River,Mills River,NC,28759,2025-06-03,20,8,6,34,SNF/NF Dual Certification,No,For Profit - LLC,Yes,Sanstone Health and Rehab,0,0,0,0,0,3,0,0,0,Yes,No,No,No,,0,,0,No
345254,Monroe Rehabilitation Center,Monroe,NC,28112,2025-01-08,19,82,13,114,SNF/NF - Medicare/Medicaid,No,For Profit - LLC,Yes,Southern Healthcare Management,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345255,Carolina Care Health and Rehabilitation,Cherryville,NC,28021,2025-02-27,16,67,16,99,SNF/NF Dual Certification,No,For Profit - LLC,No,,0,0,0,0,0,0,0,0,0,No,No,No,No,,0,,0,No
345258,Kannapolis Health and Rehabilitation,Kannapolis,NC,28083,2025-01-16,1,62,17,80,SNF/NF Dual Certification,No,For Profit - Corporation,Yes,Consulate Health Care,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345260,Rocky Mount Rehabilitation Center,Rocky Mount,NC,27804,2024-08-01,14,73,22,109,SNF/NF - Medicare/Medicaid,No,For Profit - LLC,Yes,Southern Healthcare Management,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345261,Lotus Village Center for Nursing and Rehabilitation,Sparta,NC,28675,2024-02-22,2,55,17,74,SNF/NF Dual Certification,No,For Profit - LLC,No,,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345262,Hertford Rehabilitation and Healthcare Center,Hertford,NC,27944,2024-05-16,1,56,7,64,SNF/NF Dual Certification,No,For Profit - LLC,Yes,Yad Healthcare,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345263,Macon Valley Nursing and Rehabilitation Center,Franklin,NC,28734,2025-06-05,16,49,6,71,SNF/NF Dual Certification,No,For Profit - Corporation,Yes,Principle LTC,0,18,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,Yes
345264,Stanley Total Living Center,Stanley,NC,28164,2024-10-25,22,44,29,95,SNF/NF - Medicare/Medicaid,No,For Profit - Corporation,No,,0,20,0,0,0,0,0,0,0,Yes,No,No,Yes,,0,,0,No
345265,Yanceyville Rehabilitation and Healthcare Center,Yanceyville,NC,27379,2025-02-27,16,98,30,144,SNF/NF Dual Certification,No,For Profit - LLC,Yes,Yad Healthcare,0,40,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345266,The Carrolton of Plymouth,Plymouth,NC,27962,2025-03-27,5,65,11,81,SNF/NF Dual Certification,No,For Profit - LLC,Yes,Carrolton Facilities Management,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345267,Bladen East Health And Rehab,Elizabethtown,NC,28337,2025-03-06,3,51,11,65,SNF/NF Dual Certification,No,For Profit - LLC,Yes,Hedgehog Healthcare Associates,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345268,Autumn Care of Marshville,Marshville,NC,28103,2024-11-20,13,61,10,84,SNF/NF - Medicare/Medicaid,No,For Profit - Corporation,Yes,Saber Health Care,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345269,Autumn Care of Salisbury,Salisbury,NC,28146,2025-03-06,17,58,15,90,SNF/NF Dual Certification,No,For Profit - Corporation,Yes,Saber Health Care,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345270,The Greens at Spruce Pines,Spruce Pine,NC,28777,2025-02-11,10,67,25,102,SNF/NF Dual Certification,No,For Profit - Corporation,No,,0,22,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345273,Kindred Hospital East Greensboro,Greensboro,NC,27406,2024-09-18,9,8,3,20,SNF/NF - Medicare/Medicaid,No,For Profit - Corporation,No,,0,0,0,0,0,0,0,23,0,Yes,No,No,No,,0,,0,No
345277,Asheboro Rehabilitation and Healthcare Center,Asheboro,NC,27203,2024-09-06,7,76,11,94,SNF/NF - Medicare/Medicaid,No,For Profit - LLC,Yes,Yad Healthcare,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345278,NORTHERN REGIONAL HOSPITAL,MOUNT AIRY,NC,27030,2025-03-28,6,16,10,32,SNF/NF Dual Certification,Yes,Government - Hospital District,No,,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,Yes
345279,The Carrolton of Nash,Rocky Mount,NC,27804,2024-10-24,13,92,18,123,SNF/NF - Medicare/Medicaid,No,For Profit - Partnership,No,,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345280,Autumn Care of Raeford,Raeford,NC,28376,2024-10-18,1,83,38,122,SNF/NF - Medicare/Medicaid,No,For Profit - Corporation,Yes,Autumn Corporation,0,34,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345281,Stanly Manor,Albemarle,NC,28001,2024-10-24,4,40,5,49,SNF/NF - Medicare/Medicaid,No,Non-Profit - Nonprofit Corporation,Yes,"AHSNF, Inc",0,1,2,0,3,3,0,0,0,Yes,No,No,No,,0,,0,No
345282,Cleveland Pines,Shelby,NC,28150,2024-07-18,10,76,15,101,SNF/NF - Medicare/Medicaid,No,For Profit - Corporation,Yes,"Atrium Health, AHSNF",0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345283,The Citadel Mooresville,Mooresville,NC,28115,2025-05-15,11,63,27,101,SNF/NF Dual Certification,No,For Profit - LLC,No,,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345284,The Oaks,Winston-Salem,NC,27103,2024-07-24,1,68,42,111,SNF/NF - Medicare/Medicaid,No,For Profit - Corporation,No,,0,0,0,0,0,0,0,0,0,Yes,Yes,No,No,,0,,0,No
345285,Orchard Valley Health and Rehabilitation,Hendersonville,NC,28791,2024-12-06,9,80,14,103,SNF/NF - Medicare/Medicaid,No,For Profit - Corporation,Yes,Ascent Healthcare Managment,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345288,"Compass Healthcare and Rehab Rowan, LLC",Spencer,NC,28159,2024-08-21,5,44,9,58,SNF/NF - Medicare/Medicaid,No,For Profit - Individual,No,,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345289,Currituck Health & Rehab Center,Barco,NC,27917,2024-08-30,6,52,9,67,SNF/NF - Medicare/Medicaid,No,For Profit - LLC,Yes,Saber Healthcare,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345291,Oxford Health and Rehabilitation Center,Oxford,NC,27565,2024-07-03,20,104,35,159,SNF/NF - Medicare/Medicaid,No,For Profit - Corporation,Yes,Medical Facilities of America,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345292,Grantsbrook Nursing and Rehabilitation Center,Grantsboro,NC,28529,2025-05-12,12,59,6,77,SNF/NF Dual Certification,No,For Profit - LLC,Yes,River Neuse Group LLC,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345293,Richmond Pines Healthcare and Rehabilitation Center,Hamlet,NC,28345,2024-09-18,14,65,10,89,SNF/NF - Medicare/Medicaid,No,For Profit - Corporation,Yes,Principle LTC,0,16,0,0,0,0,0,0,0,Yes,Yes,No,No,,0,,0,No
345294,Autumn Care of Shallotte,Shallotte,NC,28459,2024-08-29,14,61,22,97,SNF/NF - Medicare/Medicaid,No,For Profit - Corporation,Yes,Saber Healthcare,0,0,0,0,0,0,0,0,0,Yes,No,No,No,2025-07-21,0,,0,No
345296,"Margate Health and Rehabilitation, LLC",Jefferson,NC,28640,2024-11-20,15,64,38,117,SNF/NF - Medicare/Medicaid,No,For Profit - LLC,Yes,Sanstone,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345297,Scotia Village - SNF,Laurinburg,NC,28352,2024-11-07,3,26,27,56,SNF/NF - Medicare/Medicaid,No,Non-Profit - Nonprofit Corporation,Yes,Kintura,0,10,0,0,0,0,0,0,0,Yes,No,No,Yes,,0,,0,No
345298,The Laurels of Pender,Burgaw,NC,28425,2024-09-20,12,52,21,85,SNF/NF - Medicare/Medicaid,No,For Profit - LLC,No,,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345301,White Oak Manor - Burlington,Burlington,NC,27217,2024-08-01,1,72,41,114,SNF/NF - Medicare/Medicaid,No,For Profit - Corporation,Yes,National Healthcare Corp,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345302,Vero Health & Rehab of Sylva,Sylva,NC,28779,2024-07-30,4,64,12,80,SNF/NF - Medicare/Medicaid,No,For Profit - LLC,No,,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345303,The Laurels Of Greentree Ridge,Asheville,NC,28803,2025-05-07,13,43,25,81,SNF/NF Dual Certification,No,For Profit - Corporation,Yes,Laurel Healthcare,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345304,"Accordius Health at Midwood, LLC",Charlotte,NC,28205,2024-05-07,2,61,1,64,SNF/NF - Medicare/Medicaid,No,For Profit - LLC,No,,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345305,Smoky Ridge Health and Rehabilitation,Burnsville,NC,28714,2025-03-20,7,82,6,95,SNF/NF Dual Certification,No,For Profit - LLC,Yes,BrightonHealthcare LLC,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345306,IREDELL MEMORIAL HOSPITAL INC,STATESVILLE,NC,28677,2025-01-09,26,7,1,34,SNF/NF - Medicare/Medicaid,Yes,Non-Profit - Other Nonprofit,No,,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345307,Juniper Gardens Center for Nursing and Rehabilitation,Gastonia,NC,28056,2024-08-27,7,19,19,45,SNF/NF - Medicare/Medicaid,No,For Profit - Corporation,Yes,Alliance Health Group,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345309,Liberty Commons Nursing and Rehabilitation Center of Halifax County,Weldon,NC,27890,2024-10-09,8,32,5,45,SNF/NF - Medicare/Medicaid,No,For Profit - LLC,Yes,Liberty Healthcare,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,Yes
345310,Piedmont Crossing,Thomasville,NC,27360,2025-02-14,104,0,0,104,SNF/NF Distinct Part,No,Non-Profit - Nonprofit Corporation,Yes,EveryAge,0,0,0,0,0,0,0,0,0,Yes,No,No,Yes,,0,,0,Yes
345311,Roxboro Healthcare & Rehab Center,Roxboro,NC,27573,2024-08-15,2,53,40,95,SNF/NF - Medicare/Medicaid,No,For Profit - Corporation,Yes,Liberty Healthcare,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345312,The Greens at Hendersonville,Hendersonville,NC,28791,2024-11-01,5,82,17,104,SNF/NF - Medicare/Medicaid,No,For Profit - Corporation,Yes,CCH Health Care,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345313,Northampton Nursing and Rehabilitation Center,Jackson,NC,27845,2025-01-24,7,61,11,79,SNF/NF Dual Certification,No,For Profit - LLC,Yes,"Principle, LTC",0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345314,"Fair Haven of Forest City, LLC",Forest City,NC,28043,2025-02-13,6,59,16,81,SNF/NF - Medicare/Medicaid,No,For Profit - LLC,Yes,Fair Haven Home Inc.,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345315,The Carrolton of Lumberton,Lumberton,NC,28358,2024-11-21,7,65,12,84,SNF/NF - Medicare/Medicaid,No,For Profit - LLC,Yes,Carrolton Facility Management,0,0,0,0,0,0,0,0,0,Yes,Yes,No,No,,0,,0,No
345316,Senior Citizens Home,Henderson,NC,27537,2024-12-05,4,28,17,49,SNF/NF Dual Certification,No,For Profit - LLC,Yes,Maximus Healthcare,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345317,Clayton Rehabilitation and Healthcare Center,Clayton,NC,27520,2024-11-27,8,56,25,89,SNF/NF - Medicare/Medicaid,No,For Profit - Individual,Yes,Yad Healthcare,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345318,Brunswick Cove Nursing Center,Winnabow,NC,28479,2024-07-25,17,86,26,129,SNF/NF - Medicare/Medicaid,No,For Profit - LLC,Yes,Hedgehog Healthcare Associates,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345319,Elderberry Health Care,Marshall,NC,28753,2024-08-28,7,55,13,75,SNF/NF - Medicare/Medicaid,No,For Profit - Corporation,Yes,"Wilkinson Care Center, Inc",0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345321,Kerr Lake Nursing and Rehabilitation Center,Henderson,NC,27536,2024-11-06,22,44,5,71,SNF/NF - Medicare/Medicaid,No,For Profit - Corporation,Yes,Principle LTC,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345322,The Laurels of Hendersonville,Hendersonville,NC,28792,2025-03-20,0,100,20,120,SNF/NF Dual Certification,No,For Profit - Corporation,Yes,Ciena Healthcare Management,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345323,Wallace Rehabilitation and Healthcare Center,Wallace,NC,28466,2025-02-27,8,54,15,77,SNF/NF Dual Certification,No,For Profit - LLC,Yes,Yad Healthcare,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345325,The Carrolton of Dunn,Dunn,NC,28335,2024-10-08,5,67,16,88,SNF/NF - Medicare/Medicaid,No,For Profit - LLC,No,,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345326,Willowbrooke Court SC Ctr at Matthews Glen,Matthews,NC,28105,2024-05-30,5,0,3,8,Skilled Nursing Facility (SNF) - Medicare Participation,No,Non-Profit - Nonprofit Corporation,Yes,Acts Retirement Life Communities,0,15,0,0,0,0,0,0,0,Yes,No,No,Yes,,0,,0,No
345328,Givens Health Center,Asheville,NC,28803,2025-02-06,15,8,31,54,SNF/NF - Medicare/Medicaid,No,Non-Profit - Nonprofit Corporation,Yes,Givens Communities Inc.,0,0,0,0,0,0,0,0,0,Yes,No,No,Yes,,0,,0,Yes
345329,Hibriten Mountain Nursing and Rehabilitation,Lenoir,NC,28645,2024-12-17,4,55,22,81,SNF/NF - Medicare/Medicaid,No,Non-Profit - Other Nonprofit,Yes,Avardis Health,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345330,The Graybrier Nursing and Retirement Center,Trinity,NC,27370,2024-10-17,10,65,21,96,SNF/NF - Medicare/Medicaid,No,For Profit - Corporation,No,,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345331,Sardis Oaks,Charlotte,NC,28270,2024-09-27,10,46,32,88,SNF/NF - Medicare/Medicaid,No,Non-Profit - Other Nonprofit,Yes,Charlotte/Mecklenburg Hospital Authority (Atrium Health),0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345332,Wilson Healthcare and Rehabilitation Center,Wilson,NC,27893,2025-01-13,6,58,26,90,SNF/NF Dual Certification,No,For Profit - LLC,Yes,Yad Healthcare,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,Yes
345333,Abbotts Creek Center,Lexington,NC,27295,2024-09-27,22,31,6,59,SNF/NF - Medicare/Medicaid,No,For Profit - Corporation,Yes,Genesis Health Care,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345335,Franklin Oaks Nursing and Rehabilitation Center,Louisburg,NC,27549,2025-05-08,12,108,15,135,SNF/NF Dual Certification,No,For Profit - Corporation,Yes,Eagle Peak LTC,0,0,0,0,0,0,0,0,35,Yes,No,No,No,,0,,0,No
345336,Signature Healthcare of Roanoke Rapids,Roanoke Rapids,NC,27870,2025-01-08,11,50,19,80,SNF/NF Dual Certification,No,For Profit - LLC,Yes,Signature Healthcare,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345337,"Peak Resources - Alamance, Inc",Graham,NC,27253,2024-10-31,7,66,51,124,SNF/NF Dual Certification,No,For Profit - Corporation,Yes,Peak Resources,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,Yes
