Provider Number,Facility Name,City,State,Zip Code,Certification Date,Medicare Census,Medicaid Census,Other Census,Total Residents,Program Participation Code,Hospital Based,Ownership Type,Multi-Facility Organization,Multi-Facility Organization Name,Number of AIDS Beds,Number of Alzheimer's Disease Beds,Number of Dialysis Beds,Number of Disabled Children/Young Adult Beds,Number of Head Trauma Beds,Number of Hospice Beds,Number of Huntington's Disease Beds,Number of Ventilator Beds,Number of Other Specialized Rehab Beds,Organized Residents' Group,Organized Family Member Group,Facility Conducts Experimental Research,Continuing Care Retirement Community (CCRC),7 Day RN Waiver Date,7 Day RN Hrs Waived Per Week,24 Hr Licensed Nursing Waiver Date,24 Hr Licensed Nursing Hrs Waived Per Week,Nurse Aide Training and Competency Evaluation Program
345442,Forrest Oakes Healthcare,Albemarle,NC,28001,2025-02-06,5,38,11,54,SNF/NF Dual Certification,No,For Profit - Corporation,No,,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345443,Oak Forest Health and Rehabilitation,Winston Salem,NC,27105,2024-02-15,4,113,46,163,SNF/NF - Medicare/Medicaid,No,For Profit - Corporation,No,,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345445,Glenaire,Cary,NC,27511,2024-10-23,10,10,49,69,SNF/NF - Medicare/Medicaid,No,Non-Profit - Nonprofit Corporation,Yes,Kintura,0,0,0,0,0,0,0,0,0,Yes,No,No,Yes,,0,,0,No
345446,College Pines Health and Rehabilitation,Connelly Springs,NC,28612,2025-03-13,27,38,24,89,SNF/NF Dual Certification,No,For Profit - LLC,Yes,Sanstone Health and Rehab,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345447,Emerald Ridge Health and Rehabilitation,Asheville,NC,28804,2025-03-06,14,66,10,90,SNF/NF Dual Certification,No,For Profit - Corporation,Yes,Consulate Healthcare,0,24,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,Yes
345448,Maple Grove Health and Rehabilitation Center,Greensboro,NC,27406,2025-06-05,0,93,5,98,SNF/NF Dual Certification,No,For Profit - LLC,Yes,Principle Ltc,0,28,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345449,King Health and Rehabilitation Center,King,NC,27021,2025-04-16,7,49,34,90,SNF/NF Dual Certification,No,For Profit - LLC,Yes,Medical Facilities of America,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345450,Westwood Health and Rehabilitation,Archdale,NC,27263,2024-11-21,1,35,28,64,SNF/NF - Medicare/Medicaid,No,For Profit - Corporation,Yes,Avardis Health,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345457,Belaire Health Care Center,Gastonia,NC,28052,2024-05-09,17,35,27,79,SNF/NF - Medicare/Medicaid,No,For Profit - LLC,Yes,Medical Facilities of America,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345458,Treyburn Rehabilitation Center,Durham,NC,27712,2025-03-20,13,72,25,110,SNF/NF Dual Certification,No,For Profit - LLC,No,,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
