ENROLLMENT ID,ASSOCIATE ID,ORGANIZATION NAME,ASSOCIATE ID - OWNER,TYPE - OWNER,ROLE CODE - OWNER,ROLE TEXT - OWNER,ASSOCIATION DATE - OWNER,FIRST NAME - OWNER,MIDDLE NAME - OWNER,LAST NAME - OWNER,TITLE - OWNER,ORGANIZATION NAME - OWNER,DOING BUSINESS AS NAME - OWNER,ADDRESS LINE 1 - OWNER,ADDRESS LINE 2 - OWNER,CITY - OWNER,STATE - OWNER,ZIP CODE - OWNER,PERCENTAGE OWNERSHIP,CREATED FOR ACQUISITION - OWNER,CORPORATION - OWNER,LLC - OWNER,MEDICAL PROVIDER SUPPLIER - OWNER,MANAGEMENT SERVICES COMPANY - OWNER,MEDICAL STAFFING COMPANY - OWNER,HOLDING COMPANY - OWNER,INVESTMENT FIRM - OWNER,FINANCIAL INSTITUTION - OWNER,CONSULTING FIRM - OWNER,FOR PROFIT - OWNER,NON PROFIT - OWNER,PRIVATE EQUITY COMPANY - OWNER,REIT - OWNER,CHAIN HOME OFFICE - OWNER,TRUST OR TRUSTEE - OWNER,OTHER TYPE - OWNER,OTHER TYPE TEXT - OWNER,PARENT COMPANY - OWNER,OWNED BY ANOTHER ORG OR IND - OWNER
O20110503000519,7113102336,"BIRCH LTC GROUP, LLC",7810178001,O,72,ADP OF THE SNF,2011-01-01,,,,,"PRINCIPLE IT SERVICES, INC.",,1435 HIGHWAY 258N,,KINSTON,NC,285047208,,,N,Y,N,N,N,N,N,N,N,N,N,,,,,N,,,
O20110503000519,7113102336,"BIRCH LTC GROUP, LLC",7810178001,O,85,DIRECT OWNERSHIP INTEREST,2011-01-01,,,,,"PRINCIPLE IT SERVICES, INC.",,1435 HIGHWAY 258N,,KINSTON,NC,285047208,50,N,N,Y,N,N,N,N,N,N,N,N,N,,,,,N,,Y,Y
O20110505000275,1658552773,"REDWOOD LTC GROUP, LLC",5193906386,O,34,5% OR GREATER DIRECT OWNERSHIP INTEREST,2011-01-01,,,,,"PRINCIPLE LONG TERM CARE, INC.",,1435  HIGHWAY 258 N,,KINSTON,NC,285047208,50,N,N,N,N,Y,N,N,N,N,N,Y,N,,,Y,,N,,Y,N
O20110505000275,1658552773,"REDWOOD LTC GROUP, LLC",5193906386,O,43,OPERATIONAL/MANAGERIAL CONTROL,2011-01-01,,,,,"PRINCIPLE LONG TERM CARE, INC.",,1435  HIGHWAY 258 N,,KINSTON,NC,285047208,,,N,N,N,Y,N,N,N,N,N,Y,N,,,Y,,N,,,
O20110505000275,1658552773,"REDWOOD LTC GROUP, LLC",7810178001,O,34,5% OR GREATER DIRECT OWNERSHIP INTEREST,2011-01-01,,,,,"PRINCIPLE IT SERVICES, INC.",,1435 HWY 258 N,,KINSTON,NC,285047208,50,N,Y,N,N,N,N,N,N,N,N,Y,N,,,,,N,,N,N
O20110511000098,7416138516,"SPRUCE LTC GROUP, LLC",5193906386,O,34,5% OR GREATER DIRECT OWNERSHIP INTEREST,2011-01-01,,,,,"PRINCIPLE LONG TERM CARE, INC.",,1435 HIGHWAY 258 NORTH,,KINSTON,NC,258047208,50,N,N,Y,N,Y,N,N,N,N,N,N,N,,,Y,,N,,N,N
O20110511000098,7416138516,"SPRUCE LTC GROUP, LLC",5193906386,O,43,OPERATIONAL/MANAGERIAL CONTROL,2011-01-01,,,,,"PRINCIPLE LONG TERM CARE, INC.",,1435 HIGHWAY 258 NORTH,,KINSTON,NC,258047208,,,N,Y,N,Y,N,N,N,N,N,N,N,,,Y,,N,,,
O20110511000098,7416138516,"SPRUCE LTC GROUP, LLC",5193906386,O,72,ADP OF THE SNF,2025-06-13,,,,,"PRINCIPLE LONG TERM CARE, INC.",,1435 HIGHWAY 258 NORTH,,KINSTON,NC,258047208,,,N,Y,N,Y,N,N,N,N,N,N,N,,,Y,,N,,,
O20110511000098,7416138516,"SPRUCE LTC GROUP, LLC",7810178001,O,34,5% OR GREATER DIRECT OWNERSHIP INTEREST,2011-01-01,,,,,"PRINCIPLE IT SERVICES, INC.",,1435 US HIGHWAY 258 N,,KINSTON,NC,285047208,50,N,N,N,N,Y,N,N,N,N,N,N,N,,,,,N,,N,N
O20110511000098,7416138516,"SPRUCE LTC GROUP, LLC",7810178001,O,43,OPERATIONAL/MANAGERIAL CONTROL,2011-01-01,,,,,"PRINCIPLE IT SERVICES, INC.",,1435 US HIGHWAY 258 N,,KINSTON,NC,285047208,,,N,N,N,Y,N,N,N,N,N,N,N,,,,,N,,,
